link,category,label,types,address
https://tonviewer.com/EQAsf-AHNDTuXQUaxqBSah3uVtJJOJz5gdmaK0uJIULS8yTc,scripted-activity,sybil_Duckchain_EQAsf-AH,['wallet_v4r2'],EQAsf-AHNDTuXQUaxqBSah3uVtJJOJz5gdmaK0uJIULS8yTc
https://tonviewer.com/EQDoiYk6WSsE1XMoz1HUsS63p6cGIpKnTnUwpgJ-VQhkG383,scripted-activity,sybil_Duckchain_EQAsf-AH,['wallet_v4r2'],EQDoiYk6WSsE1XMoz1HUsS63p6cGIpKnTnUwpgJ-VQhkG383
https://tonviewer.com/EQAnmfZHNQ0XF7AMDV_m0nlSvHxK-O_NYUpLVaaS_RPwtaJu,scripted-activity,sybil_Duckchain_EQAsf-AH,['wallet_v4r2'],EQAnmfZHNQ0XF7AMDV_m0nlSvHxK-O_NYUpLVaaS_RPwtaJu
https://tonviewer.com/EQBXR3VtUTaUImzhrW4ZH-hdn-UysNn1mvOG9l-qYY2pC1Bw,scripted-activity,sybil_Duckchain_EQBXR3Vt,['wallet_v4r2'],EQBXR3VtUTaUImzhrW4ZH-hdn-UysNn1mvOG9l-qYY2pC1Bw
https://tonviewer.com/EQCzC3nxtKj77iV_VjOyh_trHqk2gE2FXWd7VMYox69FJTT0,scripted-activity,sybil_Duckchain_EQBXR3Vt,['wallet_v4r2'],EQCzC3nxtKj77iV_VjOyh_trHqk2gE2FXWd7VMYox69FJTT0
https://tonviewer.com/EQDdUiFQ13mBHVOxilhDLBkAJWZ9n891yRreBTsyv7HXEuvv,scripted-activity,sybil_Duckchain_EQBXR3Vt,['wallet_v4r2'],EQDdUiFQ13mBHVOxilhDLBkAJWZ9n891yRreBTsyv7HXEuvv
https://tonviewer.com/Ef_mlXHnufWO3-vvopflR_NpIFMiidvp_xt20Qf8usMBBKzB,person,frozen_early_miner,[],Ef_mlXHnufWO3-vvopflR_NpIFMiidvp_xt20Qf8usMBBKzB
https://tonviewer.com/Ef8ZvWFCk64ubdT7k9fADlAADZW2oUeE0F__hNAx5vmQ27Ls,person,frozen_early_miner,[],Ef8ZvWFCk64ubdT7k9fADlAADZW2oUeE0F__hNAx5vmQ27Ls
https://tonviewer.com/Ef9mDsqzIg2i8fdw0Bb7UGafA3Gc1qX5IYjp6AOZwGlfvim2,person,frozen_early_miner,[],Ef9mDsqzIg2i8fdw0Bb7UGafA3Gc1qX5IYjp6AOZwGlfvim2
https://tonviewer.com/Ef_OXz_ktGTHClb8arzLt3XEjlJTw9LEYxjGvSJNff79lgM0,person,frozen_early_miner,[],Ef_OXz_ktGTHClb8arzLt3XEjlJTw9LEYxjGvSJNff79lgM0
https://tonviewer.com/Ef_8PSUtKy_U-JZDSNUNqN5cVsn9ORJqS93L6DRM9HbsoScU,person,frozen_early_miner,[],Ef_8PSUtKy_U-JZDSNUNqN5cVsn9ORJqS93L6DRM9HbsoScU
https://tonviewer.com/Ef_Q2bUhOn4MA6OHPFi_6bmmDyqxfNPe0xZ1NzuVg3iZnc6q,person,frozen_early_miner,[],Ef_Q2bUhOn4MA6OHPFi_6bmmDyqxfNPe0xZ1NzuVg3iZnc6q
https://tonviewer.com/Ef-WNdMyg4WY477TQbcRXXRYaJTxTcsMXCFCaqNsJOx2bdOb,person,frozen_early_miner,[],Ef-WNdMyg4WY477TQbcRXXRYaJTxTcsMXCFCaqNsJOx2bdOb
https://tonviewer.com/Ef-Mp2amcFWc_WUZLp7u0px-xaFUTIvZ235bbkxeZj_0L3RN,person,frozen_early_miner,[],Ef-Mp2amcFWc_WUZLp7u0px-xaFUTIvZ235bbkxeZj_0L3RN
https://tonviewer.com/Ef_a5A7jjemg9UIxm8qKDJDO6Ex1y0qIYKHv1y6JV2pf0Pc5,person,frozen_early_miner,[],Ef_a5A7jjemg9UIxm8qKDJDO6Ex1y0qIYKHv1y6JV2pf0Pc5
https://tonviewer.com/Ef-OlzXDAMGgBWSaGbCh3eddOMKQQ1FxSmlc7UFvyg0FLkaW,person,frozen_early_miner,[],Ef-OlzXDAMGgBWSaGbCh3eddOMKQQ1FxSmlc7UFvyg0FLkaW
https://tonviewer.com/Ef8-sWUe-q9lIhqbQ8uEn9zq0si2dYwmVNk7uAglmIzv6HUx,person,frozen_early_miner,[],Ef8-sWUe-q9lIhqbQ8uEn9zq0si2dYwmVNk7uAglmIzv6HUx
https://tonviewer.com/Ef-oPVJM6fGP9OC-PczMUdiKPNfwkUrt4eslgzXXEY0qCH1j,person,frozen_early_miner,[],Ef-oPVJM6fGP9OC-PczMUdiKPNfwkUrt4eslgzXXEY0qCH1j
https://tonviewer.com/Ef-Op85HIHPW38bRG-cITThNtN7DLMPNXuOcthlLwWIQ4F6h,person,frozen_early_miner,[],Ef-Op85HIHPW38bRG-cITThNtN7DLMPNXuOcthlLwWIQ4F6h
https://tonviewer.com/Ef8Coo1rIKJKBUd8_Op2x9Pn6qKpzK8hiXR36pkAObslsvEQ,person,frozen_early_miner,[],Ef8Coo1rIKJKBUd8_Op2x9Pn6qKpzK8hiXR36pkAObslsvEQ
https://tonviewer.com/Ef-KSYlt0KOJ6vKSo1c837N_9LicTJll2Mg7Hbix7bsvIFR4,person,frozen_early_miner,[],Ef-KSYlt0KOJ6vKSo1c837N_9LicTJll2Mg7Hbix7bsvIFR4
https://tonviewer.com/Ef9m1EeCVXB32YmziDqnSZvjkzzemdc9G8pCrtPVKfsXPz-L,person,frozen_early_miner,[],Ef9m1EeCVXB32YmziDqnSZvjkzzemdc9G8pCrtPVKfsXPz-L
https://tonviewer.com/Ef9mgPTRU2ahxnKtLws-6iB3AmBjD3BYLtAIpqJydaizsqQN,person,frozen_early_miner,[],Ef9mgPTRU2ahxnKtLws-6iB3AmBjD3BYLtAIpqJydaizsqQN
https://tonviewer.com/Ef818UKXzeOebz6Sf0_rdq7ZSghPV-ir4hxUVfNNoAj3ueCS,person,frozen_early_miner,[],Ef818UKXzeOebz6Sf0_rdq7ZSghPV-ir4hxUVfNNoAj3ueCS
https://tonviewer.com/Ef_SjWSzILCgUwq4igDDEE3v3Sf0A0zwO55aWE-LYzLGpN2P,person,frozen_early_miner,[],Ef_SjWSzILCgUwq4igDDEE3v3Sf0A0zwO55aWE-LYzLGpN2P
https://tonviewer.com/Ef8BtXO9bcTMXjg9bgivKh4lhJmZWQPP6_rb9vfjlTP5FJtM,person,frozen_early_miner,[],Ef8BtXO9bcTMXjg9bgivKh4lhJmZWQPP6_rb9vfjlTP5FJtM
https://tonviewer.com/Ef89xh-uy860-mCcvS8zcAUs8bApmxLGygDLEKjUk5RL-311,person,frozen_early_miner,[],Ef89xh-uy860-mCcvS8zcAUs8bApmxLGygDLEKjUk5RL-311
